Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Mozambique,2015,55-59 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.100464146779,0.0862282703883,0.116617695894
Mauritius,2015,55-59 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.458063722273,0.412928327476,0.509565784507
Malawi,2015,55-59 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0893495827251,0.0762361745414,0.103851907134
Rwanda,2015,55-59 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0893054269511,0.0761088982924,0.103877416383
Somalia,2015,55-59 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.101620596224,0.086651032259,0.119101967325
Zambia,2015,55-59 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.106651989233,0.0917444387592,0.123930742397
Kenya,2015,55-59 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0909425004573,0.0776309630334,0.105891786221
Madagascar,2015,55-59 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0853057299592,0.0734890694763,0.0985907939833
South Sudan,2015,55-59 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.113923433878,0.0970201409398,0.131931112287
Seychelles,2015,55-59 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.200979327135,0.175903382752,0.227676679315
Tanzania,2015,55-59 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0855640596343,0.0736255675083,0.0995290542204
Uganda,2015,55-59 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0870030520695,0.0754886734298,0.100062780551
Zimbabwe,2015,55-59 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.172692311525,0.149222871378,0.196996206233
Ethiopia,2015,55-59 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.096019640046,0.0825104669177,0.110518827109
Eritrea,2015,55-59 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0970214972717,0.0824092458217,0.113285859651
Djibouti,2015,55-59 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.120428374255,0.102498783056,0.140871109092
Comoros,2015,55-59 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.105174939869,0.0901025960294,0.122146490312
