Location,Year,Age,Sex,Risk factor,Measure,Value,Lower bound,Upper bound
Mozambique,2015,25-29 years,Both,High body-mass index,Exposure per 100,2.5927066569167,1.0773687162914,4.8220101737584
Mauritius,2015,25-29 years,Both,High body-mass index,Exposure per 100,5.1424301007074,2.9270732553075,7.9672444326265
Malawi,2015,25-29 years,Both,High body-mass index,Exposure per 100,2.4981945213467998,1.0281821952983,4.6877690695927
Rwanda,2015,25-29 years,Both,High body-mass index,Exposure per 100,2.057435244497,0.85038127794902,3.6193266128803
Somalia,2015,25-29 years,Both,High body-mass index,Exposure per 100,2.3008722358949,0.9412958463861599,4.1448739133323
Zambia,2015,25-29 years,Both,High body-mass index,Exposure per 100,2.9423062472343,1.3323889654554,4.9970265734958
Kenya,2015,25-29 years,Both,High body-mass index,Exposure per 100,3.1636614931744003,1.752165682599,4.8727454844426
Madagascar,2015,25-29 years,Both,High body-mass index,Exposure per 100,1.2118427675934,0.39802068160051,2.4263925119668
South Sudan,2015,25-29 years,Both,High body-mass index,Exposure per 100,2.2393729063784997,0.9089183162582601,4.1779606361592005
Seychelles,2015,25-29 years,Both,High body-mass index,Exposure per 100,6.6480904682141,4.3004297078109,9.6181242059537
Tanzania,2015,25-29 years,Both,High body-mass index,Exposure per 100,2.8602587697686,1.4039015422774999,4.6170931395529
Uganda,2015,25-29 years,Both,High body-mass index,Exposure per 100,2.4629101823719,1.1669994674688,4.0829748651725
Zimbabwe,2015,25-29 years,Both,High body-mass index,Exposure per 100,3.0462730208892,1.5984366833319001,4.8256267451369
Ethiopia,2015,25-29 years,Both,High body-mass index,Exposure per 100,1.3423782396168,0.52767158437073,2.5604610246634003
Eritrea,2015,25-29 years,Both,High body-mass index,Exposure per 100,1.0276848651606,0.3645148642025,2.134756174204
Djibouti,2015,25-29 years,Both,High body-mass index,Exposure per 100,4.160857506767901,1.9321582481388,7.343794988088099
Comoros,2015,25-29 years,Both,High body-mass index,Exposure per 100,3.3348359537222,1.4774593727045,5.84959779698
Burundi,2015,25-29 years,Both,High body-mass index,Exposure per 100,0.9140669722210899,0.31092969972313,1.7880296410893999
Gabon,2015,25-29 years,Both,High body-mass index,Exposure per 100,5.2267655719638,3.0076708205445,7.8948958983729
Equatorial Guinea,2015,25-29 years,Both,High body-mass index,Exposure per 100,3.7009022802023996,2.052305103474,5.6525780034091
Chad,2015,25-29 years,Both,High body-mass index,Exposure per 100,3.2951864340501,1.7079342250387,5.1548806958599
Sao Tome and Principe,2015,25-29 years,Both,High body-mass index,Exposure per 100,3.8399812288216997,2.0191037013757,6.2769162568875005
Congo,2015,25-29 years,Both,High body-mass index,Exposure per 100,3.1548244252097,1.6071017892571,5.1457391665101
Democratic Republic of the Congo,2015,25-29 years,Both,High body-mass index,Exposure per 100,1.3053665865416,0.5431883432002,2.3642781918926
Cameroon,2015,25-29 years,Both,High body-mass index,Exposure per 100,4.4117813736434,2.3054134892561002,6.8497415907786
Central African Republic,2015,25-29 years,Both,High body-mass index,Exposure per 100,2.0806910516222,1.051091814988,3.4977029825981
Angola,2015,25-29 years,Both,High body-mass index,Exposure per 100,2.9302536763023,1.4716226540036,4.737752439057799
Morocco,2015,25-29 years,Both,High body-mass index,Exposure per 100,4.4438255200608,2.3310290673864,6.974332433941901
Libya,2015,25-29 years,Both,High body-mass index,Exposure per 100,7.0764801560988,4.2464297746284,10.183524379290999
Sudan,2015,25-29 years,Both,High body-mass index,Exposure per 100,4.7250628710225,2.6785672004926,7.2870791882944
Tunisia,2015,25-29 years,Both,High body-mass index,Exposure per 100,5.1035385426175,2.8263275855794,7.9036963677376
Algeria,2015,25-29 years,Both,High body-mass index,Exposure per 100,6.571619887571099,3.8328349830415,9.7342782875803
Namibia,2015,25-29 years,Both,High body-mass index,Exposure per 100,2.8667219365894,1.5466610514888002,4.427554772133
Swaziland,2015,25-29 years,Both,High body-mass index,Exposure per 100,5.3024241272977,3.2736849726589003,7.6868928092838
Lesotho,2015,25-29 years,Both,High body-mass index,Exposure per 100,4.914321250341399,2.9659255421085,7.3197470419001
South Africa,2015,25-29 years,Both,High body-mass index,Exposure per 100,6.950060123228299,4.6682616082389,9.7065132085386
Botswana,2015,25-29 years,Both,High body-mass index,Exposure per 100,4.1469285364027,2.3672660291251,6.5443521184626
Togo,2015,25-29 years,Both,High body-mass index,Exposure per 100,2.9055652065868,1.5229319914511,4.649866657245
Sierra Leone,2015,25-29 years,Both,High body-mass index,Exposure per 100,2.7345677339131997,1.3957843092733,4.3438371089414
Senegal,2015,25-29 years,Both,High body-mass index,Exposure per 100,2.7235907454237,1.2966783858622,4.5112157750748
Nigeria,2015,25-29 years,Both,High body-mass index,Exposure per 100,3.7296707711418,2.0269683136855,5.8786550052489
Niger,2015,25-29 years,Both,High body-mass index,Exposure per 100,2.4504305089761003,1.1402528861064,4.2388340997539
Mauritania,2015,25-29 years,Both,High body-mass index,Exposure per 100,5.0630617506412,2.8044578839852,7.8765593664299995
Mali,2015,25-29 years,Both,High body-mass index,Exposure per 100,3.7143005153237,1.97827452934,6.1220457539367
Liberia,2015,25-29 years,Both,High body-mass index,Exposure per 100,5.237579571337,2.9976495173887,7.9041014750712
Guinea-Bissau,2015,25-29 years,Both,High body-mass index,Exposure per 100,2.4545384380821997,1.1201016502406,4.2127604345866
The Gambia,2015,25-29 years,Both,High body-mass index,Exposure per 100,3.3619074341109,1.7611302634129002,5.4953183359815
Guinea,2015,25-29 years,Both,High body-mass index,Exposure per 100,2.1275255262549,0.9473254869062401,3.6781372744066
Ghana,2015,25-29 years,Both,High body-mass index,Exposure per 100,3.8421858831114,2.0405199423405,6.1308278909054
Cape Verde,2015,25-29 years,Both,High body-mass index,Exposure per 100,4.2133923821302,2.1623772535425,6.6797323963045
Cote d'Ivoire,2015,25-29 years,Both,High body-mass index,Exposure per 100,3.0724114175183,1.4172130887257,5.2068118444833
Burkina Faso,2015,25-29 years,Both,High body-mass index,Exposure per 100,2.4260209418686998,1.1700549142309,4.0137853452674
Benin,2015,25-29 years,Both,High body-mass index,Exposure per 100,3.417748872015,1.6720372806940003,5.5389894032257
Dominica,2015,25-29 years,Both,High body-mass index,Exposure per 100,6.8858124151725,4.3292806798107,9.8236172414053
Dominican Republic,2015,25-29 years,Both,High body-mass index,Exposure per 100,6.195850219424,3.8264108908425,8.9214757428881
Antigua and Barbuda,2015,25-29 years,Both,High body-mass index,Exposure per 100,5.8852888214074,3.6264584955452,8.8667974978639
Cuba,2015,25-29 years,Both,High body-mass index,Exposure per 100,6.0210104878448005,3.6684907690347996,8.8352820633054
Grenada,2015,25-29 years,Both,High body-mass index,Exposure per 100,7.0743022868048,4.587702306611599,10.110734128594
Jamaica,2015,25-29 years,Both,High body-mass index,Exposure per 100,6.8534592377593,4.377964020884599,9.8910188970481
Trinidad and Tobago,2015,25-29 years,Both,High body-mass index,Exposure per 100,7.9456743646506,5.1706832335204,11.154613115612
The Bahamas,2015,25-29 years,Both,High body-mass index,Exposure per 100,7.7488261055934995,4.8464664559098,11.037574648171999
Saint Lucia,2015,25-29 years,Both,High body-mass index,Exposure per 100,7.543497199954801,4.9602971636183995,10.550088757211
Saint Vincent and the Grenadines,2015,25-29 years,Both,High body-mass index,Exposure per 100,9.2997679459018,5.9908987407491,12.955948240436
Barbados,2015,25-29 years,Both,High body-mass index,Exposure per 100,9.538239112110599,6.4951224756972,13.009616490462001
Haiti,2015,25-29 years,Both,High body-mass index,Exposure per 100,3.3055566101225002,1.7734210477111,5.2324508883326
Puerto Rico,2015,25-29 years,Both,High body-mass index,Exposure per 100,10.519019554245999,7.144520596231101,14.376619109627
"Virgin Islands, U.S.",2015,25-29 years,Both,High body-mass index,Exposure per 100,10.078865580515,6.8088817314454,14.016421871492
Panama,2015,25-29 years,Both,High body-mass index,Exposure per 100,3.9421522604301,1.9269772188771,6.4588968731954
El Salvador,2015,25-29 years,Both,High body-mass index,Exposure per 100,7.0339067475451005,4.0916864828067006,10.591704967021
Nicaragua,2015,25-29 years,Both,High body-mass index,Exposure per 100,6.4459309484075,3.5848612502129,9.632540379142899
