Location,Year,Age,Sex,Risk factor,Measure,Value,Lower bound,Upper bound
Mozambique,2015,15-19 years,Both,Smoking,Exposure per 100,0.28927450803529997,0.1435050618538,0.55667019586646
Mauritius,2015,15-19 years,Both,Smoking,Exposure per 100,1.2013561675769,0.61385184805382,2.1575323453732
Malawi,2015,15-19 years,Both,Smoking,Exposure per 100,0.20375964936614,0.10002426614158001,0.38629529090303
Rwanda,2015,15-19 years,Both,Smoking,Exposure per 100,0.28658123999897,0.13719868125053,0.54077248762561
Somalia,2015,15-19 years,Both,Smoking,Exposure per 100,0.3745025434534,0.19475162033116,0.68196977433781
Zambia,2015,15-19 years,Both,Smoking,Exposure per 100,0.33223451757696,0.18016879753352,0.5692655771435401
Kenya,2015,15-19 years,Both,Smoking,Exposure per 100,0.27606170877549,0.24246267767682,0.32018596681717
Madagascar,2015,15-19 years,Both,Smoking,Exposure per 100,0.40012162511053,0.2058527162734,0.73593544494257
South Sudan,2015,15-19 years,Both,Smoking,Exposure per 100,0.38671906971287,0.20091194816202998,0.6637872002073899
Seychelles,2015,15-19 years,Both,Smoking,Exposure per 100,0.68976480791706,0.34858411214033,1.2614490674283
Tanzania,2015,15-19 years,Both,Smoking,Exposure per 100,0.20715702215620002,0.10943171539342,0.3731695746522
Uganda,2015,15-19 years,Both,Smoking,Exposure per 100,0.38531299275779,0.20698684543740997,0.65999130463415
Zimbabwe,2015,15-19 years,Both,Smoking,Exposure per 100,0.33190010370902,0.20048312576168,0.51748297625728
Ethiopia,2015,15-19 years,Both,Smoking,Exposure per 100,0.10912619390825,0.060086042902620006,0.19488712731264
Eritrea,2015,15-19 years,Both,Smoking,Exposure per 100,0.27084953422933,0.14319900022938,0.49285697974095
Djibouti,2015,15-19 years,Both,Smoking,Exposure per 100,0.7645049625907,0.39477174036166,1.4162500705329
Comoros,2015,15-19 years,Both,Smoking,Exposure per 100,0.307957414775,0.17295639739041002,0.53685337015635
Burundi,2015,15-19 years,Both,Smoking,Exposure per 100,0.21129304566649001,0.10745153835772,0.39591215721321
Gabon,2015,15-19 years,Both,Smoking,Exposure per 100,0.58497542182621,0.30912858482193,1.0804274663806002
Equatorial Guinea,2015,15-19 years,Both,Smoking,Exposure per 100,0.36473536767875997,0.17932034734868,0.79729492115953
Chad,2015,15-19 years,Both,Smoking,Exposure per 100,0.22445307439701,0.11424005769736,0.40136233831932
Sao Tome and Principe,2015,15-19 years,Both,Smoking,Exposure per 100,0.14521004392714001,0.0725232964985,0.26726658063524
Congo,2015,15-19 years,Both,Smoking,Exposure per 100,0.24294466476106003,0.12083493928181,0.50136269857531
Democratic Republic of the Congo,2015,15-19 years,Both,Smoking,Exposure per 100,0.25792805933384,0.15288681921088002,0.41620238878942994
Cameroon,2015,15-19 years,Both,Smoking,Exposure per 100,0.23739418814521002,0.12417028982136,0.41834700996288
Central African Republic,2015,15-19 years,Both,Smoking,Exposure per 100,0.28811148393015,0.15156114045057,0.56908963127895
Angola,2015,15-19 years,Both,Smoking,Exposure per 100,0.35254874800916997,0.19492562466391,0.65501785721447
Morocco,2015,15-19 years,Both,Smoking,Exposure per 100,0.31504378572104,0.15369954275838998,0.59747693374246
Libya,2015,15-19 years,Both,Smoking,Exposure per 100,0.39660856447325005,0.19896284707122,0.6904188015635
Sudan,2015,15-19 years,Both,Smoking,Exposure per 100,0.33316906695881,0.15013571962798,0.7224793092099699
Tunisia,2015,15-19 years,Both,Smoking,Exposure per 100,0.7950865482232301,0.40244125662102,1.4400754829595
Algeria,2015,15-19 years,Both,Smoking,Exposure per 100,0.9041274509775,0.46230714732121997,1.6226770056125
Namibia,2015,15-19 years,Both,Smoking,Exposure per 100,1.1243942710852999,0.64999156714528,1.9034774721439
Swaziland,2015,15-19 years,Both,Smoking,Exposure per 100,0.35421833633085,0.21629805087995,0.5658611711383
Lesotho,2015,15-19 years,Both,Smoking,Exposure per 100,1.0776655230889,0.6652811002997601,1.6162494631175002
South Africa,2015,15-19 years,Both,Smoking,Exposure per 100,1.0553005971794,0.87561003471343,1.273294630793
Botswana,2015,15-19 years,Both,Smoking,Exposure per 100,0.90786976105422,0.54518743710662,1.4523275494463
Togo,2015,15-19 years,Both,Smoking,Exposure per 100,0.1824910382511,0.08148903148702,0.35530671439806
Sierra Leone,2015,15-19 years,Both,Smoking,Exposure per 100,0.41079085684301003,0.20559905342506002,0.7250535706964499
Senegal,2015,15-19 years,Both,Smoking,Exposure per 100,0.28750560229787003,0.13842801680156,0.52810126845643
Nigeria,2015,15-19 years,Both,Smoking,Exposure per 100,0.09652333376335,0.05037220670662999,0.16898825992912
Niger,2015,15-19 years,Both,Smoking,Exposure per 100,0.27557264746357,0.13719816710684002,0.52166546238664
Mauritania,2015,15-19 years,Both,Smoking,Exposure per 100,1.0439028181237,0.50121789006772,1.9518747295481
Mali,2015,15-19 years,Both,Smoking,Exposure per 100,0.28610511630019,0.14325070425425002,0.52091166884917
Liberia,2015,15-19 years,Both,Smoking,Exposure per 100,0.15770730214433,0.07529823935658,0.2840223231137
Guinea-Bissau,2015,15-19 years,Both,Smoking,Exposure per 100,0.43118528192860994,0.21777515460006,0.7485922046695
The Gambia,2015,15-19 years,Both,Smoking,Exposure per 100,0.6366065948177899,0.30929697955772,1.1900204819498998
Guinea,2015,15-19 years,Both,Smoking,Exposure per 100,0.35353246036517,0.18032622149299,0.64406095296741
Ghana,2015,15-19 years,Both,Smoking,Exposure per 100,0.16966586536475,0.07372162674965,0.35746116309604
Cape Verde,2015,15-19 years,Both,Smoking,Exposure per 100,0.27459302529286,0.13604494730522,0.55071713692046
Cote d'Ivoire,2015,15-19 years,Both,Smoking,Exposure per 100,0.23827451380157,0.11321663732631002,0.42595051461743005
Burkina Faso,2015,15-19 years,Both,Smoking,Exposure per 100,0.38435539103173,0.19533583020447,0.68146679574442
Benin,2015,15-19 years,Both,Smoking,Exposure per 100,0.21536134067673,0.10905959357466,0.39086838385211997
Dominica,2015,15-19 years,Both,Smoking,Exposure per 100,0.53700388143102,0.2342609789512,1.0262999968338
Dominican Republic,2015,15-19 years,Both,Smoking,Exposure per 100,0.57385828878901,0.27273306595208,1.0894761792887
Antigua and Barbuda,2015,15-19 years,Both,Smoking,Exposure per 100,0.41146258965620003,0.1917629706564,0.8177181117410001
Cuba,2015,15-19 years,Both,Smoking,Exposure per 100,0.89104218232383,0.40706206584498006,1.6535833625415002
Grenada,2015,15-19 years,Both,Smoking,Exposure per 100,0.63072780849495,0.30870620185636,1.1940471747691999
Jamaica,2015,15-19 years,Both,Smoking,Exposure per 100,0.69661004464387,0.34310765453905,1.3000806642993
Trinidad and Tobago,2015,15-19 years,Both,Smoking,Exposure per 100,0.6679533157848799,0.31401088738456,1.3061982175228999
The Bahamas,2015,15-19 years,Both,Smoking,Exposure per 100,0.72616227386981,0.3454695021087,1.3553616758519
Saint Lucia,2015,15-19 years,Both,Smoking,Exposure per 100,0.69419130150957,0.32143453599877003,1.3277453415075
Saint Vincent and the Grenadines,2015,15-19 years,Both,Smoking,Exposure per 100,0.45457544346932,0.21753581443503,0.89157566429661
Barbados,2015,15-19 years,Both,Smoking,Exposure per 100,0.5937250235328201,0.28394919708235,1.1203964446111
Haiti,2015,15-19 years,Both,Smoking,Exposure per 100,0.38830236744779,0.18737591844197,0.72927291626848
Puerto Rico,2015,15-19 years,Both,Smoking,Exposure per 100,0.5852501945479001,0.26430750394387,1.1000404413823
"Virgin Islands, U.S.",2015,15-19 years,Both,Smoking,Exposure per 100,0.10713323021046998,0.04864025302076,0.21851636519688
Panama,2015,15-19 years,Both,Smoking,Exposure per 100,0.39157659188469,0.18647660907795,0.74927701357389
El Salvador,2015,15-19 years,Both,Smoking,Exposure per 100,0.48353757294757,0.22229504322170002,0.9045494613463999
Nicaragua,2015,15-19 years,Both,Smoking,Exposure per 100,0.78725929579439,0.3595906228531,1.5539684161595
Mexico,2015,15-19 years,Both,Smoking,Exposure per 100,0.6483230839688601,0.54012342001562,0.79114332961933
Honduras,2015,15-19 years,Both,Smoking,Exposure per 100,0.73666982699327,0.33842346286019,1.4255478777397
Guatemala,2015,15-19 years,Both,Smoking,Exposure per 100,0.57945616584422,0.26543237380363,1.1209240763335
Costa Rica,2015,15-19 years,Both,Smoking,Exposure per 100,0.87377123847169,0.41522425685019,1.6129128895535998
Belize,2015,15-19 years,Both,Smoking,Exposure per 100,0.36623455036853997,0.17284232822171,0.6880819592606999
United States,2015,15-19 years,Both,Smoking,Exposure per 100,1.3650645705617999,1.2515882855073,1.4833668741443
Greenland,2015,15-19 years,Both,Smoking,Exposure per 100,8.3711145170832,6.3442642067067,10.615299385677
Bermuda,2015,15-19 years,Both,Smoking,Exposure per 100,0.9572652144641101,0.44773553084775003,1.8019717456819
Colombia,2015,15-19 years,Both,Smoking,Exposure per 100,1.8031769384716,0.83091699164843,3.2873241727631
Guyana,2015,15-19 years,Both,Smoking,Exposure per 100,0.94283730674208,0.44296454053572004,1.7236726459111
Ecuador,2015,15-19 years,Both,Smoking,Exposure per 100,0.67708853975421,0.34497090141916004,1.1812858595201001
Paraguay,2015,15-19 years,Both,Smoking,Exposure per 100,0.73215056810581,0.29043939388624,1.5143606700880001
Suriname,2015,15-19 years,Both,Smoking,Exposure per 100,1.0700219953131,0.51534571112074,2.0781444088029
